Trade #,Entry Date,Entry Price,RSI at Buy,Exit Date,Exit Price,RSI at Sell,P&L,P&L %,Result
1,2021-08-17,146.75,65.26,2021-08-18,143.01,52.06,-3.74,-2.55,LOSS
2,2021-08-31,148.35,61.64,2021-09-10,145.56,47.68,-2.79,-1.88,LOSS
3,2021-11-17,150.2,63.78,2021-12-17,167.47,57.78,17.27,11.5,PROFIT
4,2023-03-16,153.62,61.88,2023-04-11,158.5,55.55,4.88,3.18,PROFIT
5,2023-04-19,165.24,66.3,2023-04-20,164.27,63.32,-0.97,-0.58,LOSS
6,2023-05-01,167.17,65.85,2023-05-02,166.13,62.44,-1.03,-0.62,LOSS
7,2023-05-05,171.09,67.62,2023-05-16,169.85,61.45,-1.24,-0.73,LOSS
8,2023-05-18,172.79,67.12,2023-05-22,171.95,63.77,-0.84,-0.49,LOSS
9,2023-05-31,174.96,67.04,2023-06-26,182.88,64.73,7.92,4.52,PROFIT
10,2023-06-27,185.63,69.67,2023-07-10,186.17,58.64,0.54,0.29,PROFIT
11,2023-12-08,193.7,70.11,2023-12-11,191.19,62.18,-2.5,-1.29,LOSS
12,2023-12-13,195.92,69.55,2023-12-19,194.92,64.54,-1.01,-0.52,LOSS
13,2024-06-05,194.37,72.27,2024-06-06,192.99,67.67,-1.38,-0.71,LOSS
14,2024-06-07,195.38,71.11,2024-06-10,191.64,60.31,-3.74,-1.91,LOSS
15,2024-06-11,205.56,75.33,2024-06-25,207.47,63.32,1.91,0.93,PROFIT
16,2024-07-02,218.58,70.35,2024-07-18,222.46,56.93,3.88,1.78,PROFIT
17,2025-08-07,219.36,66.23,2025-08-25,226.73,60.56,7.37,3.36,PROFIT
18,2025-09-03,238.02,70.09,2025-09-10,226.36,48.13,-11.66,-4.9,LOSS
19,2025-09-19,245.03,67.93,2025-10-07,255.99,67.78,10.96,4.47,PROFIT
20,2025-10-23,259.09,61.13,2025-11-07,267.96,63.67,8.87,3.42,PROFIT
21,2025-11-28,278.59,68.41,2025-12-08,277.63,57.82,-0.96,-0.34,LOSS
